CVE-2015-4700++ibm++openwall-2793	denial of service	execute an invalid instruction	0
CVE-2010-2947++ibm++nvd-1913	overflow a buffer and execute arbitrary code on the system or cause the application to crash	denial of service	0
CVE-2009-3747++exploitdb++nvd-3383	execute arbitrary script code in the browser of an unsuspecting user in the context of the affected site	inject arbitrary web script or html	0
CVE-2008-6500++ibm++exploitdb-2335	"""steal the victim's cookie-based authentication credentials"""	execute arbitrary script code in the browser of an unsuspecting user in the context of the affected site	0
CVE-2013-3963++ibm++nvd-1624	web cache poisoning	hijack the authentication of unspecified victims for requests that add users	0
CVE-2016-3623++ibm++openwall-2565	denial of service	a denial of service	1
CVE-2007-2238++ibm++nvd-3024	denial of service	execute arbitrary code	0
CVE-2013-1946++ibm++openwall-745	poison the page cache with non-html data and cause the application to crash	denial of service	0
CVE-2018-10194++ibm++nvd-1185	denial of service	denial of service	1
CVE-2007-4850++exploitdb++nvd-2725	potentially obtaining sensitive information that may aid in further attacks	bypass safe_mode and open_basedir restrictions and read arbitrary files	0
CVE-2014-9428++openwall++nvd-816	denial of service	denial of service	1
CVE-2013-2128++openwall++nvd-1250	denial of service	denial of service	1
CVE-2002-2041++ibm++nvd-1420	overflow a buffer and execute arbitrary commands on the system with root privileges	execute arbitrary code	0
CVE-2005-0706++ibm++nvd-1861	overflow a buffer and possibly execute arbitrary code on the system	cause a denial of service (crash ) and possibly execute arbitrary code	1
CVE-2008-3937++exploitdb++nvd-2045	execute arbitrary script code in the browser of an unsuspecting user in the context of the affected site	inject arbitrary web script or html	0
CVE-2015-1328++openwall++nvd-2011	a local root privilege escalation	obtain root access	0
CVE-2017-15944++exploitdb++nvd-3088	execute arbitrary code	execute arbitrary code	1
CVE-2012-4231++exploitdb++nvd-71	or exploit latent vulnerabilities in the underlying database	inject arbitrary web script or html	0
CVE-2009-3225++exploitdb++nvd-1846	access or modify data	inject arbitrary web script or html	0
CVE-2010-2959++exploitdb++openwall-1723	crash the system or gain root privileges	denial of service	0
CVE-2008-4071++ibm++exploitdb-1076	denial of service	denial of service	1
CVE-2013-7285++ibm++openwall-571	denial of service	click jacking attacks	0
CVE-2010-3056++openwall++nvd-2074	debugging	(3 ) db_structure.php	0
CVE-2008-6233++ibm++nvd-633	add	execute arbitrary sql commands	0
CVE-2009-3536++exploitdb++nvd-296	denial of service	cause a denial of service (application crash ) or possibly execute arbitrary code	1
CVE-2006-6083++ibm++exploitdb-2837	add	compromise the application	1
CVE-2001-0552++exploitdb++nvd-1731	execute commands on a managed system with the privileges of the ovactiond process	shell metacharacters in a certain snmp trap message	0
CVE-2016-7185++exploitdb++nvd-2203	privilege escalation	gain privileges	1
CVE-2013-2010++exploitdb++nvd-1004	arbitrary php code injection	execute arbitrary code	0
CVE-2017-6371++ibm++exploitdb-398	the application to crash	"crash\\r\\n"") break"	1
CVE-2003-1397++ibm++exploitdb-1577	denial of service	denial of service	1
CVE-2016-10155++ibm++openwall-2660	denial of service	a dos and/or potentially crash the qemu process on the host	1
CVE-2012-0845++openwall++nvd-2108	a denial of service	denial of service	1
CVE-2014-8484++openwall++nvd-1380	denial of service	denial of service	1
CVE-2007-3956++ibm++nvd-2234	a denial of service	denial of service	1
CVE-2017-14489++exploitdb++nvd-130	denial of service	denial of service	1
CVE-2009-0649++ibm++nvd-2441	denial of service	denial of service	1
CVE-2008-2942++openwall++nvd-1867	code execution on the system	modify arbitrary files	0
CVE-2010-3056++openwall++nvd-2081	debugging	(10 ) libraries/sanitizing.lib.php	0
CVE-2015-6516++ibm++exploitdb-931	add	inject arbitrary sql statements	0
CVE-2014-3686++ibm++openwall-599	execute arbitrary commands on the system	executing action scripts	1
CVE-2004-1744++ibm++nvd-1712	consume a large amount of cpu resources and cause the web server to crash	many large http requests	0
CVE-2010-1147++exploitdb++openwall-1020	execute arbitrary code	denial of service (opendchub crash ) or	0
CVE-2019-14821++openwall++nvd-690	crash the host kernel resulting in dos or potentially escalate privileges on the system	denial of service	0
CVE-2011-0531++exploitdb++nvd-1725	denial of service	cause a denial of service (crash ) and execute arbitrary commands	1
CVE-2008-3310++ibm++nvd-1100	view	execute arbitrary sql commands	0
CVE-2005-1193++ibm++nvd-2965	executed within the security context of the hosting site	execute arbitrary script	0
CVE-2016-7202++ibm++nvd-2141	execute arbitrary code on the system with privileges of the victim	denial of service	0
CVE-2010-3056++openwall++nvd-2060	using debugging messages	(6 ) libraries/database_interface.lib.php	0
CVE-2006-4625++ibm++exploitdb-958	bypass security options set by http.conf and reset configuration options in a php.ini file	access sensitive information or to write files in unauthorized locations	0
CVE-2008-4729++ibm++nvd-1182	denial of service	execute arbitrary code	0
CVE-2010-0519++exploitdb++nvd-2729	execute arbitrary code	denial of service	0
CVE-2006-1194++ibm++exploitdb-3338	denial of service	denial of service	1
CVE-2015-4700++ibm++openwall-162	denial of service	execute an invalid instruction	0
CVE-2008-1413++exploitdb++nvd-2709	execute arbitrary script code in the browser of an unsuspecting user in the context of the affected site	inject arbitrary web script or html	0
CVE-2008-4558++exploitdb++openwall-1665	memory corruption	overwrite arbitrary memory and execute arbitrary code	0
CVE-2010-3056++openwall++nvd-2075	debugging	(4 ) js/messages.php	0
CVE-2017-12188++openwall++nvd-1883	a stack buffer overflow issue	denial of service	0
CVE-2008-3443++ibm++nvd-2642	denial of service	denial of service	1
CVE-2008-4558++exploitdb++openwall-1666	arbitrary code execution with the privileges of the current user	overwrite arbitrary memory and execute arbitrary code	0
CVE-2016-4535++exploitdb++nvd-2926	denial of service	denial of service	1
CVE-2011-3203++openwall++nvd-828	execute arbitrary php code of his own	execute arbitrary code	1
