CVE-2016-5418++openwall++nvd-952	a hash added to the snapshot tag	a crafted archive file	0
CVE-2014-7975++openwall++nvd-2812	being unable to write to the filesystem	does not require the cap_sys_admin capability for do_remount_sb calls that change the root filesystem to read-only	0
CVE-2008-1080++ibm++openwall-3119	persuading a victim to visit a malicious web page and type target filename characters	crafted attribute values in an xml document	0
CVE-2008-3712++ibm++nvd-1315	using the mosconfig_sitename parameter in a specially-crafted url	the (1 ) query string to mambots/editors/mostlyce/jscripts/tiny_mce/filemanager/connectors/php/connector.php and the (2 ) mosconfig_sitename parameter to administrator/popups/index3pop.php	0
CVE-2016-7098++ibm++openwall-2643	maintaining an http connection open	"""malicious content from a wget -r -nh -a '"""	0
CVE-2017-7678++openwall++nvd-2230	or history server	trick them into visiting a link	0
CVE-2008-4711++ibm++nvd-2490	send specially-crafted sql statements to multiple scripts using the id parameter	(2 ) view.event.php	0
CVE-2016-8740++ibm++nvd-3251	sending a specially crafted request	crafted continuation frames in an http/2 request	1
CVE-2015-8026++ibm++nvd-1424	using a specially-crafted usb flash drive	a crafted filesystem	0
CVE-2014-2364++ibm++nvd-186	sending an overly long string to multiple parameters	(9 ) serverresponse	0
CVE-2008-2908++ibm++exploitdb-335	persuading a victim to visit a specially-crafted web page that passes an overly long string value to the operation	transmit the response to the client	0
CVE-2012-4414++ibm++openwall-3375	send specially-crafted sql statements	sql statements are generated and written into the binary log	0
CVE-2014-5270++ibm++openwall-535	a side-channel attack on elgamal sub-keys	"""mitigating it in software"	1
CVE-2008-3971++openwall++nvd-1889	crafted manual page	a crafted man page	1
CVE-2008-4711++ibm++nvd-2494	send specially-crafted sql statements to multiple scripts using the id parameter	and (6 ) view.video.php	0
CVE-2016-7425++ibm++nvd-1636	using arcmsr_message_write_wqbuffer control code	an arcmsr_message_write_wqbuffer control code	1
CVE-2014-2531++exploitdb++nvd-121	concatenating strings from the application with user input	"as demonstrated by the ""or "" key in a pgn8state object in an i object in a json object"	0
CVE-2015-8104++openwall++nvd-3046	triggering an infinite	related to svm.c	1
CVE-2004-1770++ibm++nvd-3169	supply shell meta characters to the ?user parameter	shell metacharacters in the user parameter	1
CVE-2015-8960++ibm++nvd-133	using man-in-the-middle techniques	"aka the ""key compromise impersonation (kci)"" issue"	0
CVE-2007-0267++ibm++nvd-2706	cause a kernel panic	mounting a crafted unix file system (ufs ) dmg image that contains a corrupted directory entry (struct direct)	0
CVE-2015-5243++ibm++openwall-2191	sending a specially-crafted request	phpwhois	0
CVE-2008-3456++openwall++nvd-550	crafted setup arguments	a cross-site framing attack	1
CVE-2012-3358++ibm++nvd-871	persuading a victim to open a specially-crafted jpeg 2000 file	a crafted (1 ) tile number or (2 ) tile length in a jpeg 2000 image file	1
CVE-2012-2573++exploitdb++nvd-1978	send an email to the victim with the payload in the e-mail body	(5 ) a crafted src attribute of an iframe element	0
CVE-2017-1000083++ibm++exploitdb-979	using a specially-crafted .cbt file	create the malicious .cbt file run	1
CVE-2016-6664++exploitdb++nvd-3371	the suid binary	a symlink attack on error logs and possibly other files	0
CVE-2017-1000252++openwall++nvd-767	using kvm with posted interrupts on intel systems	related to arch/x86/kvm/vmx.c and virt/kvm/eventfd.c	0
CVE-2016-5317++ibm++openwall-1131	an out-of-bounds write in the pixarlogdecode() function in tif_pixarlog.c	generating a thumbnail for a crafted tiff image	0
CVE-2009-3726++ibm++exploitdb-852	a null pointer dereference error in the nfs4_proc_lock() function	a null-pointer dereference	0
CVE-2006-5276++ibm++nvd-782	sending specially-crafted smb traffic to a vulnerable system	crafted smb traffic	0
CVE-2013-2108++ibm++exploitdb-2265	and other malicious activities	perform certain unauthorized actions in the context of the affected application	0
CVE-2011-3352++ibm++openwall-484	"""using the themename parameter in a specially-crafted url to execute arbitrary html or web script code in a victim's web browser within the security context of the hosting web site"""	modifying and deleting themes	1
CVE-2016-7185++exploitdb++nvd-3226	create and delete arbitrary global drive letters	a crafted application	0
CVE-2005-2581++ibm++nvd-2782	send a specially-crafted udp packet containing 65534 bytes to a specific port to cause the system to crash	a large udp packet to port 5060	1
